(eval):3: command not found: setsid
[2026-05-31T15:35:30-07:00] iter=1 delta=+0 closed=1340 open=708 rc=0 retries=0
[2026-05-31T19:04:46-07:00] iter=27 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:04:55-07:00] iter=28 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:05:03-07:00] iter=29 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:05:08-07:00] iter=30 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:05:14-07:00] iter=31 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:05:20-07:00] iter=32 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:05:26-07:00] iter=33 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:05:31-07:00] iter=34 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:05:36-07:00] iter=35 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:05:42-07:00] iter=36 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:05:47-07:00] iter=37 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:05:53-07:00] iter=38 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:05:58-07:00] iter=39 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:06:04-07:00] iter=40 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:06:10-07:00] iter=41 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:06:15-07:00] iter=42 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:06:20-07:00] iter=43 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:06:26-07:00] iter=44 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:06:31-07:00] iter=45 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:06:36-07:00] iter=46 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:06:42-07:00] iter=47 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:06:47-07:00] iter=48 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:06:53-07:00] iter=49 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:06:58-07:00] iter=50 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:07:05-07:00] iter=51 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:07:11-07:00] iter=52 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:07:16-07:00] iter=53 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:07:22-07:00] iter=54 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:07:27-07:00] iter=55 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:07:32-07:00] iter=56 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:07:37-07:00] iter=57 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:07:42-07:00] iter=58 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:07:48-07:00] iter=59 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:07:54-07:00] iter=60 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:07:59-07:00] iter=61 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:08:04-07:00] iter=62 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:08:10-07:00] iter=63 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:08:15-07:00] iter=64 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:08:21-07:00] iter=65 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:08:27-07:00] iter=66 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:08:33-07:00] iter=67 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:08:38-07:00] iter=68 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:08:43-07:00] iter=69 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:08:51-07:00] iter=70 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:08:56-07:00] iter=71 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:09:02-07:00] iter=72 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:09:08-07:00] iter=73 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:09:13-07:00] iter=74 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:09:20-07:00] iter=75 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:09:25-07:00] iter=76 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:09:30-07:00] iter=77 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:09:36-07:00] iter=78 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:09:41-07:00] iter=79 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:09:46-07:00] iter=80 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:09:52-07:00] iter=81 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:09:58-07:00] iter=82 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:10:03-07:00] iter=83 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:10:09-07:00] iter=84 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:10:14-07:00] iter=85 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:10:19-07:00] iter=86 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:10:25-07:00] iter=87 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:10:31-07:00] iter=88 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:10:36-07:00] iter=89 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:10:42-07:00] iter=90 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:10:47-07:00] iter=91 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:10:53-07:00] iter=92 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:10:58-07:00] iter=93 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:11:05-07:00] iter=94 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:11:10-07:00] iter=95 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:11:16-07:00] iter=96 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:11:22-07:00] iter=97 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:11:27-07:00] iter=98 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:11:32-07:00] iter=99 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:11:38-07:00] iter=100 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:11:43-07:00] iter=101 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:11:48-07:00] iter=102 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:11:53-07:00] iter=103 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:11:59-07:00] iter=104 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:12:04-07:00] iter=105 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:12:11-07:00] iter=106 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:12:17-07:00] iter=107 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:12:22-07:00] iter=108 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:12:28-07:00] iter=109 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:12:33-07:00] iter=110 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:12:38-07:00] iter=111 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:12:43-07:00] iter=112 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:12:49-07:00] iter=113 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:12:55-07:00] iter=114 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:13:00-07:00] iter=115 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:13:05-07:00] iter=116 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:13:11-07:00] iter=117 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:13:16-07:00] iter=118 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:13:22-07:00] iter=119 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:13:31-07:00] iter=120 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:13:37-07:00] iter=121 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:13:42-07:00] iter=122 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:13:47-07:00] iter=123 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:13:53-07:00] iter=124 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:13:58-07:00] iter=125 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:14:04-07:00] iter=126 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:14:09-07:00] iter=127 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:14:14-07:00] iter=128 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:14:21-07:00] iter=129 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:14:26-07:00] iter=130 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:14:32-07:00] iter=131 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:14:41-07:00] iter=132 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:14:46-07:00] iter=133 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:14:51-07:00] iter=134 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:14:57-07:00] iter=135 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:15:02-07:00] iter=136 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:15:08-07:00] iter=137 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:15:13-07:00] iter=138 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:15:19-07:00] iter=139 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:15:27-07:00] iter=140 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:15:32-07:00] iter=141 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:15:38-07:00] iter=142 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:15:43-07:00] iter=143 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:15:48-07:00] iter=144 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:15:54-07:00] iter=145 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:15:59-07:00] iter=146 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:16:05-07:00] iter=147 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:16:11-07:00] iter=148 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:16:17-07:00] iter=149 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:16:22-07:00] iter=150 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:16:28-07:00] iter=151 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:16:33-07:00] iter=152 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:16:39-07:00] iter=153 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:16:44-07:00] iter=154 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:16:49-07:00] iter=155 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:16:55-07:00] iter=156 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:17:00-07:00] iter=157 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:17:06-07:00] iter=158 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:17:11-07:00] iter=159 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:17:17-07:00] iter=160 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:17:23-07:00] iter=161 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:17:28-07:00] iter=162 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:17:33-07:00] iter=163 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:17:39-07:00] iter=164 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:17:44-07:00] iter=165 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:17:50-07:00] iter=166 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:17:55-07:00] iter=167 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:18:00-07:00] iter=168 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:18:06-07:00] iter=169 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:18:11-07:00] iter=170 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:18:16-07:00] iter=171 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:18:22-07:00] iter=172 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:18:28-07:00] iter=173 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:18:33-07:00] iter=174 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:18:39-07:00] iter=175 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:18:44-07:00] iter=176 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:18:49-07:00] iter=177 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:18:54-07:00] iter=178 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:19:00-07:00] iter=179 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:19:05-07:00] iter=180 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:19:12-07:00] iter=181 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:19:18-07:00] iter=182 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:19:23-07:00] iter=183 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:19:29-07:00] iter=184 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:19:35-07:00] iter=185 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:19:40-07:00] iter=186 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:19:46-07:00] iter=187 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:19:51-07:00] iter=188 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:19:56-07:00] iter=189 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:20:03-07:00] iter=190 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:20:09-07:00] iter=191 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:20:15-07:00] iter=192 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:20:20-07:00] iter=193 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:20:25-07:00] iter=194 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:20:31-07:00] iter=195 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:20:36-07:00] iter=196 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:20:42-07:00] iter=197 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:20:47-07:00] iter=198 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:20:53-07:00] iter=199 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:20:58-07:00] iter=200 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:21:04-07:00] iter=201 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:21:10-07:00] iter=202 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:21:15-07:00] iter=203 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:21:21-07:00] iter=204 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:21:26-07:00] iter=205 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:21:32-07:00] iter=206 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:21:38-07:00] iter=207 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:21:44-07:00] iter=208 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:21:49-07:00] iter=209 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:21:54-07:00] iter=210 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:22:00-07:00] iter=211 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:22:06-07:00] iter=212 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:22:13-07:00] iter=213 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:22:18-07:00] iter=214 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:22:24-07:00] iter=215 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:22:29-07:00] iter=216 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:22:35-07:00] iter=217 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:22:40-07:00] iter=218 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:22:46-07:00] iter=219 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:22:52-07:00] iter=220 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:22:57-07:00] iter=221 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:23:02-07:00] iter=222 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:23:08-07:00] iter=223 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:23:14-07:00] iter=224 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:23:19-07:00] iter=225 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:23:25-07:00] iter=226 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:23:30-07:00] iter=227 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:23:35-07:00] iter=228 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:23:43-07:00] iter=229 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:23:49-07:00] iter=230 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:23:54-07:00] iter=231 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:24:00-07:00] iter=232 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:24:06-07:00] iter=233 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:24:11-07:00] iter=234 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:24:16-07:00] iter=235 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:24:22-07:00] iter=236 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:24:27-07:00] iter=237 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:24:33-07:00] iter=238 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:24:38-07:00] iter=239 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:24:44-07:00] iter=240 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:24:50-07:00] iter=241 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:24:55-07:00] iter=242 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:25:01-07:00] iter=243 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:25:07-07:00] iter=244 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:25:12-07:00] iter=245 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:25:18-07:00] iter=246 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:25:24-07:00] iter=247 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:25:29-07:00] iter=248 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:25:35-07:00] iter=249 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:25:41-07:00] iter=250 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:25:47-07:00] iter=251 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:25:52-07:00] iter=252 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:25:57-07:00] iter=253 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:26:04-07:00] iter=254 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:26:09-07:00] iter=255 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:26:15-07:00] iter=256 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:26:21-07:00] iter=257 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:26:26-07:00] iter=258 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:26:32-07:00] iter=259 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:26:38-07:00] iter=260 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:26:43-07:00] iter=261 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:26:49-07:00] iter=262 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:26:54-07:00] iter=263 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:27:00-07:00] iter=264 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:27:05-07:00] iter=265 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:27:11-07:00] iter=266 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:27:17-07:00] iter=267 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:27:22-07:00] iter=268 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:27:28-07:00] iter=269 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:27:34-07:00] iter=270 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:27:39-07:00] iter=271 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:27:45-07:00] iter=272 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:27:50-07:00] iter=273 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:27:55-07:00] iter=274 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:28:01-07:00] iter=275 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:28:06-07:00] iter=276 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:28:13-07:00] iter=277 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:28:19-07:00] iter=278 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:28:24-07:00] iter=279 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:28:29-07:00] iter=280 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:28:35-07:00] iter=281 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:28:40-07:00] iter=282 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:28:45-07:00] iter=283 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:28:51-07:00] iter=284 delta=+0 closed=1354 open=692 rc=1 retries=3
